dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,5,0.05,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.38722197475682535,0.05114981018086608,0.3714204620629333,0.023412570732180425,1.0,0.0,0.5412594198941715,0.024323205225345937,0.02310945304285338,732.2,1149.0
SKAB,4,0.05,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.4715139274388994,0.1925462367243507,0.39144561687536394,0.1267555165843096,0.8636591478696742,0.27830459901295923,0.5378541745662647,0.17252498165017158,0.04869467174957779,458.8,795.0
SKAB,5,0.0,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,5,0.001,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,5,0.005,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,5,0.01,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,4,0.0,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
SKAB,4,0.001,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
SKAB,4,0.005,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
SKAB,4,0.01,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
