dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,transition_confidence_enabled,transition_confidence_k,transition_confidence_weight,transition_confidence_mode,transition_confidence_use_transition_count,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,5,0.05,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3874314859411134,0.05386402589484427,0.3716248178721377,0.02464538040715324,1.0,0.0,0.5414343890801612,0.025562644415137382,0.024463156247202984,399.6,664.2
SKAB,4,0.05,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.47168211257709963,0.1931369571332731,0.3914267695521122,0.1272156804815844,0.863157894736842,0.279327777685801,0.5377604712476213,0.17320098281951837,0.05091218372849919,233.6,423.2
SKAB,5,0.0,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.001,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.005,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.01,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,4,0.0,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.001,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.005,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.01,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
