accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,smoothing_alpha,decision_mode,score_window,score_threshold,anomaly_threshold,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density,smoothing,learning_rate,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation
0.782608695652174,0.75,1.0,0.8571428571428571,unseen_data,SKAB,fold_5,123,4,3,3,0.5,avg_negative_log,10,0.05,0.9,,425,36,722,0.047189542483660134,True,0.0,True,"[2, 3, 4]",,max
0.782608695652174,0.75,1.0,0.8571428571428571,unseen_data,SKAB,fold_5,2026,4,3,3,0.5,avg_negative_log,10,0.05,0.9,,425,36,722,0.047189542483660134,True,0.0,True,"[2, 3, 4]",,max
0.782608695652174,0.75,1.0,0.8571428571428571,unseen_data,SKAB,fold_5,7,4,3,3,0.5,avg_negative_log,10,0.05,0.9,,425,36,722,0.047189542483660134,True,0.0,True,"[2, 3, 4]",,max
0.782608695652174,0.75,1.0,0.8571428571428571,unseen_data,SKAB,fold_5,999,4,3,3,0.5,avg_negative_log,10,0.05,0.9,,425,36,722,0.047189542483660134,True,0.0,True,"[2, 3, 4]",,max
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,725,71,1123,0.021816415735794074,True,0.0,True,"[2, 3, 4]",,max
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,725,71,1123,0.021816415735794074,True,0.0,True,"[2, 3, 4]",,max
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,725,71,1123,0.021816415735794074,True,0.0,True,"[2, 3, 4]",,max
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,725,71,1123,0.021816415735794074,True,0.0,True,"[2, 3, 4]",,max
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,725,71,1123,0.021816415735794074,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,784,68,1237,0.023203031212484994,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,784,68,1237,0.023203031212484994,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,784,68,1237,0.023203031212484994,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,784,68,1237,0.023203031212484994,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,784,68,1237,0.023203031212484994,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,744,69,1167,0.022732585320243106,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,744,69,1167,0.022732585320243106,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,744,69,1167,0.022732585320243106,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,744,69,1167,0.022732585320243106,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,744,69,1167,0.022732585320243106,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,738,68,1158,0.02307508369201339,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,738,68,1158,0.02307508369201339,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,738,68,1158,0.02307508369201339,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,738,68,1158,0.02307508369201339,True,0.0,True,"[2, 3, 4]",,max
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,738,68,1158,0.02307508369201339,True,0.0,True,"[2, 3, 4]",,max
0.7441860465116279,0.725,1.0,0.8405797101449275,unseen_data,SKAB,fold_5,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,670,64,1060,0.024720149253731342,True,0.0,True,"[2, 3, 4]",,max
0.7441860465116279,0.725,1.0,0.8405797101449275,unseen_data,SKAB,fold_5,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,670,64,1060,0.024720149253731342,True,0.0,True,"[2, 3, 4]",,max
0.7441860465116279,0.725,1.0,0.8405797101449275,unseen_data,SKAB,fold_5,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,670,64,1060,0.024720149253731342,True,0.0,True,"[2, 3, 4]",,max
0.7441860465116279,0.725,1.0,0.8405797101449275,unseen_data,SKAB,fold_5,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,670,64,1060,0.024720149253731342,True,0.0,True,"[2, 3, 4]",,max
0.7441860465116279,0.725,1.0,0.8405797101449275,unseen_data,SKAB,fold_5,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,670,64,1060,0.024720149253731342,True,0.0,True,"[2, 3, 4]",,max
