dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.01,unigram,0.36097560975609755,0.0,0.04411764705882353,0.0,0.8571428571428571,0.0,0.08391608391608392,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.05,backoff,0.34146341463414637,0.0,0.04285714285714286,0.0,0.8571428571428571,0.0,0.08163265306122448,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.05,uniform,0.6439024390243903,0.0,0.06578947368421052,0.0,0.7142857142857143,0.0,0.12048192771084336,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.05,unigram,0.4292682926829269,0.0,0.041666666666666664,0.0,0.7142857142857143,0.0,0.07874015748031496,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.1,backoff,0.41463414634146345,0.0,0.04065040650406504,0.0,0.7142857142857143,0.0,0.07692307692307693,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.1,uniform,0.6682926829268293,0.0,0.07042253521126761,0.0,0.7142857142857143,0.0,0.1282051282051282,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.1,unigram,0.5707317073170731,0.0,0.05494505494505495,0.0,0.7142857142857143,0.0,0.10204081632653061,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.5,backoff,0.5560975609756098,0.0,0.05319148936170213,0.0,0.7142857142857143,0.0,0.09900990099009901,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.5,uniform,0.8439024390243903,0.0,0.12121212121212122,0.0,0.5714285714285714,0.0,0.2,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,0.5,unigram,0.6731707317073171,0.0,0.07142857142857142,0.0,0.7142857142857143,0.0,0.12987012987012986,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,1.0,backoff,0.6390243902439025,0.0,0.06493506493506493,0.0,0.7142857142857143,0.0,0.11904761904761904,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,1.0,uniform,0.9073170731707318,0.0,0.2,0.0,0.5714285714285714,0.0,0.2962962962962963,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,1.0,unigram,0.6731707317073171,0.0,0.07142857142857142,0.0,0.7142857142857143,0.0,0.12987012987012986,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,2.0,backoff,0.7024390243902439,0.0,0.078125,0.0,0.7142857142857143,0.0,0.14084507042253522,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,2.0,uniform,0.9365853658536587,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.38095238095238093,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,2.0,unigram,0.6829268292682927,0.0,0.07352941176470588,0.0,0.7142857142857143,0.0,0.13333333333333333,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,5.0,backoff,0.751219512195122,0.0,0.09259259259259259,0.0,0.7142857142857143,0.0,0.16393442622950818,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,5.0,uniform,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.912,,5.0,unigram,0.6878048780487804,0.0,0.07462686567164178,0.0,0.7142857142857143,0.0,0.13513513513513514,0.0,0.023245060949978982,366.0,553.0
