accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,transition_confidence_enabled,transition_confidence_k,transition_confidence_weight,transition_confidence_mode,transition_confidence_use_transition_count,num_states,vocab_size,num_transitions,transition_density
0.625,0.14285714285714285,1.0,0.25,unseen_data,BATADAL,transition_confidence_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.1,additive,True,366,65,553,0.023245060949978982
0.9414634146341463,0.3076923076923077,0.5714285714285714,0.4,original,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.1,additive,True,366,65,553,0.023245060949978982
0.9219512195121952,0.23529411764705882,0.5714285714285714,0.3333333333333333,gaussian_noise,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.1,additive,True,366,65,553,0.023245060949978982
0.625,0.14285714285714285,1.0,0.25,unseen_data,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.1,additive,True,366,65,553,0.023245060949978982
0.9365853658536586,0.2857142857142857,0.5714285714285714,0.38095238095238093,original,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.926829268292683,0.25,0.5714285714285714,0.34782608695652173,gaussian_noise,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.625,0.14285714285714285,1.0,0.25,unseen_data,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9365853658536586,0.2857142857142857,0.5714285714285714,0.38095238095238093,original,BATADAL,transition_confidence_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9170731707317074,0.14285714285714285,0.2857142857142857,0.19047619047619047,gaussian_noise,BATADAL,transition_confidence_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.625,0.14285714285714285,1.0,0.25,unseen_data,BATADAL,transition_confidence_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9365853658536586,0.2857142857142857,0.5714285714285714,0.38095238095238093,original,BATADAL,transition_confidence_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.926829268292683,0.25,0.5714285714285714,0.34782608695652173,gaussian_noise,BATADAL,transition_confidence_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.625,0.14285714285714285,1.0,0.25,unseen_data,BATADAL,transition_confidence_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9365853658536586,0.2857142857142857,0.5714285714285714,0.38095238095238093,original,BATADAL,transition_confidence_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9365853658536586,0.2857142857142857,0.5714285714285714,0.38095238095238093,gaussian_noise,BATADAL,transition_confidence_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.625,0.14285714285714285,1.0,0.25,unseen_data,BATADAL,transition_confidence_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9365853658536586,0.2857142857142857,0.5714285714285714,0.38095238095238093,original,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9170731707317074,0.2222222222222222,0.5714285714285714,0.32,gaussian_noise,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.625,0.14285714285714285,1.0,0.25,unseen_data,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.25,additive,True,366,65,553,0.023245060949978982
0.9024390243902439,0.19047619047619047,0.5714285714285714,0.2857142857142857,original,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
