dataset,scenario,order,base_order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,ensemble_name,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,original,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.2,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.2,,orders_3_4_mean,True,"[3,4]",,mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_max,True,"[2,3,4]",,max,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.5,,orders_2_3_4_weighted_high,True,"[2,3,4]","[0.2,0.3,0.5]",weighted_mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,original,4,4,0.1,avg_negative_log,5,4.5,,orders_3_4_mean,True,"[3,4]",,mean,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.021832213094349018,618.0,877.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,3.5066,,base_disabled,False,[3],,mean,0.5625,0.0,0.125,0.0,1.0,0.0,0.22222222222222224,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,3.5066,,orders_2_3_mean,True,"[2,3]",,mean,0.5625,0.0,0.125,0.0,1.0,0.0,0.22222222222222224,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,3.912,,base_disabled,False,[3],,mean,0.8125,0.0,0.25,0.0,1.0,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,3.912,,orders_2_3_mean,True,"[2,3]",,mean,0.8125,0.0,0.25,0.0,1.0,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,4.2,,base_disabled,False,[3],,mean,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,4.2,,orders_2_3_mean,True,"[2,3]",,mean,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,4.5,,base_disabled,False,[3],,mean,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,3,0.1,avg_negative_log,5,4.5,,orders_2_3_mean,True,"[2,3]",,mean,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_max,True,"[2,3,4]",,max,0.375,0.0,0.09090909090909091,0.0,1.0,0.0,0.16666666666666666,0.0,0.021832213094349018,618.0,877.0
BATADAL,unseen_data,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.375,0.0,0.09090909090909091,0.0,1.0,0.0,0.16666666666666666,0.0,0.021832213094349018,618.0,877.0
BATADAL,unseen_data,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_weighted_center,True,"[2,3,4]","[0.25,0.5,0.25]",weighted_mean,0.375,0.0,0.09090909090909091,0.0,1.0,0.0,0.16666666666666666,0.0,0.021832213094349018,618.0,877.0
