dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,2.0,uniform,0.5986040551288165,0.14534538940573447,0.4975231131752168,0.20231576006619217,0.5699978068892781,0.3082629514846399,0.4814732730026517,0.18918149106185175,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,2.0,unigram,0.5991364554578332,0.14514944737761507,0.49767393923143805,0.20255553158742534,0.5689990413186351,0.30847738249563184,0.48125946092597494,0.18963944770218644,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,1.0,uniform,0.6002099056372601,0.14448536047962804,0.4979889452801256,0.20268891143752027,0.5654902693888105,0.30615586824583835,0.4805337903528024,0.1898038506915925,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,1.0,unigram,0.5998538079076138,0.14484289528946184,0.49754785669560236,0.20326797542779343,0.5634852568574822,0.30475032268677754,0.4796692632594129,0.19002669635730526,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,5.0,backoff,0.6012852521669236,0.14440694949462377,0.4995456801328986,0.204705124155114,0.5599827256383039,0.30326220409549565,0.4789745644278818,0.19041293575942725,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.5,uniform,0.6002055808765634,0.14481853446029516,0.4973674758171778,0.20370594353020552,0.5614802443261538,0.30503240880984844,0.47890129655005986,0.19064789815376995,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.5,unigram,0.6002055808765634,0.14481853446029516,0.4973674758171778,0.20370594353020552,0.5614802443261538,0.30503240880984844,0.47890129655005986,0.19064789815376995,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,1.0,backoff,0.6014596584160572,0.14455801628831472,0.4994130121353255,0.20502945654537436,0.5594814725054718,0.3044286430757835,0.4786671976081898,0.19106222778422924,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.01,uniform,0.6011047293664372,0.14424807758931765,0.4978334220552687,0.20301272931848482,0.5599789849432828,0.3048285093090974,0.47852121668639613,0.1910799743123059,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.01,unigram,0.6011047293664372,0.14424807758931765,0.4978334220552687,0.20301272931848482,0.5599789849432828,0.3048285093090974,0.47852121668639613,0.1910799743123059,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.05,uniform,0.6011047293664372,0.14424807758931765,0.4978334220552687,0.20301272931848482,0.5599789849432828,0.3048285093090974,0.47852121668639613,0.1910799743123059,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.05,unigram,0.6011047293664372,0.14424807758931765,0.4978334220552687,0.20301272931848482,0.5599789849432828,0.3048285093090974,0.47852121668639613,0.1910799743123059,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.5,backoff,0.601280927406227,0.1443592641014635,0.49916723995611983,0.20487104678147497,0.5594814725054718,0.3044286430757835,0.4785136166194941,0.1908767929042584,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,2.0,backoff,0.6012828237564639,0.1445621295088893,0.4992815280618641,0.2050518346786944,0.5589802193726396,0.3037600481044779,0.47844018068684446,0.19088107850203373,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.1,uniform,0.600925998356607,0.14423658464770706,0.4976585498464982,0.2030423579999793,0.5599789849432828,0.3048285093090974,0.478407106526203,0.19104735440990844,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.1,unigram,0.600925998356607,0.14423658464770706,0.4976585498464982,0.2030423579999793,0.5599789849432828,0.3048285093090974,0.478407106526203,0.19104735440990844,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.01,backoff,0.6011047293664372,0.14424807758931765,0.49793146127095494,0.2030767881364,0.5594814725054718,0.3044286430757835,0.4783897337120018,0.190921189430952,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.05,backoff,0.6011047293664372,0.14424807758931765,0.49793146127095494,0.2030767881364,0.5594814725054718,0.3044286430757835,0.4783897337120018,0.190921189430952,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,0.1,backoff,0.6011047293664372,0.14424807758931765,0.49793146127095494,0.2030767881364,0.5594814725054718,0.3044286430757835,0.4783897337120018,0.190921189430952,0.05091218372849919,233.6,423.2
