dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,time_decay_enabled,time_decay_rate,time_decay_min_weight,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,4,0.3567,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.6411029194154871,0.07329370754838638,0.5503114671136001,0.1263447332480893,0.7403515021968887,0.2720655262400246,0.5740234651067325,0.11112497294148761,0.05091218372849919,233.6,423.2
SKAB,5,0.0,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.001,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.005,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.01,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.05,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,4,0.0,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.001,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.005,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.01,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.05,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.2231,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.5452953719053025,0.10646124642174923,0.48142013125258787,0.15321244365517594,0.7508403923793181,0.2713045262893097,0.5232206665557046,0.09341229433167864,0.05091218372849919,233.6,423.2
SKAB,4,0.5108,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.5950420364834014,0.14686049554235647,0.4967291934712783,0.1990125125430808,0.5875192037114411,0.31251896557844605,0.48736852607936676,0.1847262813477593,0.05091218372849919,233.6,423.2
SKAB,4,0.6931,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.60055862708512,0.14494968465685754,0.5003423763974711,0.20667087787580793,0.5615351327289079,0.314058552400627,0.4773419112902004,0.19313347074555873,0.05091218372849919,233.6,423.2
SKAB,4,0.1054,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.416682778363686,0.09947593372345463,0.34471438835570817,0.09750182556950746,0.7788843642959336,0.26994119212030204,0.47691204999204007,0.14538354095411035,0.05091218372849919,233.6,423.2
SKAB,5,0.1054,3,0.5,avg_negative_log,10,,True,0.999,0.01,25,0.35814467904101555,0.10711682293091129,0.3314115606702977,0.07619479325429895,0.8021095031408033,0.23188174879333848,0.46825769037856463,0.11541043331980544,0.024463156247202984,399.6,664.2
